2023-06-17 20:37:25.853 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016168298, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005447915, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.08250000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005447915, 'fills': [{'price': '0.26850000', 'qty': '45.00000000', 'commission': '0.00003684', 'commissionAsset': 'BNB', 'tradeId': 440205003}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:37:35.967 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016168460, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005458030, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.08250000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005458030, 'fills': [{'price': '0.26850000', 'qty': '45.00000000', 'commission': '0.00003684', 'commissionAsset': 'BNB', 'tradeId': 440205039}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:37:46.122 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016168613, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005468179, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.08250000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005468179, 'fills': [{'price': '0.26850000', 'qty': '45.00000000', 'commission': '0.00003684', 'commissionAsset': 'BNB', 'tradeId': 440205071}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:37:56.228 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016168936, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005478290, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.07350000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005478290, 'fills': [{'price': '0.26830000', 'qty': '45.00000000', 'commission': '0.00003681', 'commissionAsset': 'BNB', 'tradeId': 440205106}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:38:06.358 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016169149, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005488422, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.06900000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005488422, 'fills': [{'price': '0.26820000', 'qty': '45.00000000', 'commission': '0.00003676', 'commissionAsset': 'BNB', 'tradeId': 440205135}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:38:16.500 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016169327, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005498556, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.06900000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005498556, 'fills': [{'price': '0.26820000', 'qty': '45.00000000', 'commission': '0.00003676', 'commissionAsset': 'BNB', 'tradeId': 440205146}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:38:26.758 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016169353, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005508822, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.06900000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005508822, 'fills': [{'price': '0.26820000', 'qty': '45.00000000', 'commission': '0.00003676', 'commissionAsset': 'BNB', 'tradeId': 440205148}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:38:36.893 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016169390, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005518957, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.06900000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005518957, 'fills': [{'price': '0.26820000', 'qty': '45.00000000', 'commission': '0.00003676', 'commissionAsset': 'BNB', 'tradeId': 440205151}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:38:47.022 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016169481, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005529083, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.06900000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005529083, 'fills': [{'price': '0.26820000', 'qty': '45.00000000', 'commission': '0.00003676', 'commissionAsset': 'BNB', 'tradeId': 440205161}], 'selfTradePreventionMode': 'NONE'}
2023-06-17 20:38:57.170 INFO: {'symbol': 'ADAUSDT', 'orderId': 4016169949, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1687005539235, 'price': '0.00000000', 'origQty': '45.00000000', 'executedQty': '45.00000000', 'cummulativeQuoteQty': '12.06450000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1687005539235, 'fills': [{'price': '0.26810000', 'qty': '45.00000000', 'commission': '0.00003675', 'commissionAsset': 'BNB', 'tradeId': 440205165}], 'selfTradePreventionMode': 'NONE'}
2023-10-10 14:31:43.796 INFO: {'symbol': 'ETHBTC', 'orderId': 3716648527, 'orderListId': -1, 'clientOrderId': 'testing', 'transactTime': 1696919504581, 'price': '0.00000000', 'origQty': '0.01000000', 'executedQty': '0.01000000', 'cummulativeQuoteQty': '0.00057450', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'BUY', 'workingTime': 1696919504581, 'fills': [{'price': '0.05745000', 'qty': '0.01000000', 'commission': '0.00005729', 'commissionAsset': 'BNB', 'tradeId': 423754122}], 'selfTradePreventionMode': 'NONE'}
