2023-05-19 22:04:49.089 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505090916, 'stats': {'volume_usd': 357656280.0, 'volume_notional': 357656280.0, 'volume': 13305.77447876, 'price_change': -1.3857, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435263900, 'min_price': 26430.44, 'max_price': 27235.42, 'mark_price': 26832.28, 'last_price': 26829.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26820.85, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26820.85, 'current_funding': 0.0, 'change_id': 56005242253, 'bids': [[26829.0, 126530.0]], 'best_bid_price': 26829.0, 'best_bid_amount': 126530.0, 'best_ask_price': 26829.5, 'best_ask_amount': 152430.0, 'asks': [[26829.5, 152430.0]]}, 'usIn': 1684505091229922, 'usOut': 1684505091230093, 'usDiff': 171, 'testnet': False}
2023-05-19 22:04:49.341 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505090916, 'stats': {'volume_usd': 357656280.0, 'volume_notional': 357656280.0, 'volume': 13305.77447876, 'price_change': -1.3857, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435263900, 'min_price': 26430.44, 'max_price': 27235.42, 'mark_price': 26832.28, 'last_price': 26829.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26820.85, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26820.85, 'current_funding': 0.0, 'change_id': 56005242253, 'bids': [[26829.0, 126530.0]], 'best_bid_price': 26829.0, 'best_bid_amount': 126530.0, 'best_ask_price': 26829.5, 'best_ask_amount': 152430.0, 'asks': [[26829.5, 152430.0]]}, 'usIn': 1684505091479641, 'usOut': 1684505091479891, 'usDiff': 250, 'testnet': False}
2023-05-19 22:04:49.598 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505090916, 'stats': {'volume_usd': 357656280.0, 'volume_notional': 357656280.0, 'volume': 13305.77447876, 'price_change': -1.3857, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435263900, 'min_price': 26430.44, 'max_price': 27235.42, 'mark_price': 26832.28, 'last_price': 26829.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26820.85, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26820.85, 'current_funding': 0.0, 'change_id': 56005242253, 'bids': [[26829.0, 126530.0]], 'best_bid_price': 26829.0, 'best_bid_amount': 126530.0, 'best_ask_price': 26829.5, 'best_ask_amount': 152430.0, 'asks': [[26829.5, 152430.0]]}, 'usIn': 1684505091726602, 'usOut': 1684505091726889, 'usDiff': 287, 'testnet': False}
2023-05-19 22:04:49.841 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505091932, 'stats': {'volume_usd': 357656280.0, 'volume_notional': 357656280.0, 'volume': 13305.77447876, 'price_change': -1.3857, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435263900, 'min_price': 26428.96, 'max_price': 27233.9, 'mark_price': 26830.7, 'last_price': 26829.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.48, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.48, 'current_funding': 0.0, 'change_id': 56005242822, 'bids': [[26829.0, 79440.0]], 'best_bid_price': 26829.0, 'best_bid_amount': 79440.0, 'best_ask_price': 26829.5, 'best_ask_amount': 227270.0, 'asks': [[26829.5, 227270.0]]}, 'usIn': 1684505091986437, 'usOut': 1684505091986546, 'usDiff': 109, 'testnet': False}
2023-05-19 22:04:50.083 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505091932, 'stats': {'volume_usd': 357656280.0, 'volume_notional': 357656280.0, 'volume': 13305.77447876, 'price_change': -1.3857, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435263900, 'min_price': 26428.96, 'max_price': 27233.9, 'mark_price': 26830.7, 'last_price': 26829.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.48, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.48, 'current_funding': 0.0, 'change_id': 56005242822, 'bids': [[26829.0, 79440.0]], 'best_bid_price': 26829.0, 'best_bid_amount': 79440.0, 'best_ask_price': 26829.5, 'best_ask_amount': 227270.0, 'asks': [[26829.5, 227270.0]]}, 'usIn': 1684505092227342, 'usOut': 1684505092227937, 'usDiff': 595, 'testnet': False}
2023-05-19 22:04:50.323 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505091932, 'stats': {'volume_usd': 357656280.0, 'volume_notional': 357656280.0, 'volume': 13305.77447876, 'price_change': -1.3857, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435263900, 'min_price': 26428.96, 'max_price': 27233.9, 'mark_price': 26830.7, 'last_price': 26829.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.48, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.48, 'current_funding': 0.0, 'change_id': 56005242822, 'bids': [[26829.0, 79440.0]], 'best_bid_price': 26829.0, 'best_bid_amount': 79440.0, 'best_ask_price': 26829.5, 'best_ask_amount': 227270.0, 'asks': [[26829.5, 227270.0]]}, 'usIn': 1684505092468931, 'usOut': 1684505092469357, 'usDiff': 426, 'testnet': False}
2023-05-19 22:04:50.591 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505091932, 'stats': {'volume_usd': 357656280.0, 'volume_notional': 357656280.0, 'volume': 13305.77447876, 'price_change': -1.3857, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435263900, 'min_price': 26428.96, 'max_price': 27233.9, 'mark_price': 26830.7, 'last_price': 26829.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26819.48, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26819.48, 'current_funding': 0.0, 'change_id': 56005242822, 'bids': [[26829.0, 79440.0]], 'best_bid_price': 26829.0, 'best_bid_amount': 79440.0, 'best_ask_price': 26829.5, 'best_ask_amount': 227270.0, 'asks': [[26829.5, 227270.0]]}, 'usIn': 1684505092719983, 'usOut': 1684505092720111, 'usDiff': 128, 'testnet': False}
2023-05-19 22:04:50.862 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505092975, 'stats': {'volume_usd': 357745830.0, 'volume_notional': 357745830.0, 'volume': 13309.1123098, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26426.7, 'max_price': 27231.57, 'mark_price': 26828.12, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26817.52, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26817.52, 'current_funding': 0.0, 'change_id': 56005244476, 'bids': [[26825.0, 33200.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 33200.0, 'best_ask_price': 26825.5, 'best_ask_amount': 1730.0, 'asks': [[26825.5, 1730.0]]}, 'usIn': 1684505092977060, 'usOut': 1684505092977344, 'usDiff': 284, 'testnet': False}
2023-05-19 22:04:51.141 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505092975, 'stats': {'volume_usd': 357745830.0, 'volume_notional': 357745830.0, 'volume': 13309.1123098, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26426.7, 'max_price': 27231.57, 'mark_price': 26828.12, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26817.52, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26817.52, 'current_funding': 0.0, 'change_id': 56005244476, 'bids': [[26825.0, 33200.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 33200.0, 'best_ask_price': 26825.5, 'best_ask_amount': 1730.0, 'asks': [[26825.5, 1730.0]]}, 'usIn': 1684505093248277, 'usOut': 1684505093248380, 'usDiff': 103, 'testnet': False}
2023-05-19 22:04:51.384 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505092975, 'stats': {'volume_usd': 357745830.0, 'volume_notional': 357745830.0, 'volume': 13309.1123098, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26426.7, 'max_price': 27231.57, 'mark_price': 26828.12, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26817.52, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26817.52, 'current_funding': 0.0, 'change_id': 56005244476, 'bids': [[26825.0, 33200.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 33200.0, 'best_ask_price': 26825.5, 'best_ask_amount': 1730.0, 'asks': [[26825.5, 1730.0]]}, 'usIn': 1684505093528309, 'usOut': 1684505093528450, 'usDiff': 141, 'testnet': False}
2023-05-19 22:04:51.625 INFO: {'jsonrpc': '2.0', 'id': 1, 'result': {'timestamp': 1684505092975, 'stats': {'volume_usd': 357745830.0, 'volume_notional': 357745830.0, 'volume': 13309.1123098, 'price_change': -1.4004, 'low': 26300.5, 'high': 27422.0}, 'state': 'open', 'settlement_price': 26871.68, 'open_interest': 435338250, 'min_price': 26426.7, 'max_price': 27231.57, 'mark_price': 26828.12, 'last_price': 26825.0, 'interest_value': -0.01709574598242037, 'instrument_name': 'BTC-PERPETUAL', 'index_price': 26817.52, 'funding_8h': -2.724e-05, 'estimated_delivery_price': 26817.52, 'current_funding': 0.0, 'change_id': 56005244476, 'bids': [[26825.0, 33200.0]], 'best_bid_price': 26825.0, 'best_bid_amount': 33200.0, 'best_ask_price': 26825.5, 'best_ask_amount': 1730.0, 'asks': [[26825.5, 1730.0]]}, 'usIn': 1684505093770148, 'usOut': 1684505093770264, 'usDiff': 116, 'testnet': False}
